populations -b 7 -P stacks_b8_wgenome -M scripts/PopMap_L1-5.txt -t 36 -r 0.80 -p 4 -m 10 --write_random_snp --genepop --fasta
populations version 1.44 executed 2017-09-28 12:21:15

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	576
1	1234
2	1785
3	1933
4	1716
5	1454
6	1048
7	733
8	459
9	307
10	175
11	92
12	50
13	33
14	16
15	15
16	7
17	7
18	3
19	9
20	2
21	2
22	7
23	8
24	10
25	7
26	6
27	8
28	5
29	6
30	10
31	13
32	23
33	24
34	41
35	27
36	29
37	19
38	19
39	26
40	26
41	43
42	68
43	119
44	203
45	269
46	346
47	392
48	375
49	356
50	268
51	211
52	143
53	117
54	72
55	59
56	50
57	31
58	32
59	25
60	20
61	21
62	45
63	35
64	33
65	39
66	56
67	61
68	65
69	88
70	83
71	93
72	137
73	119
74	140
75	139
76	148
77	172
78	195
79	180
80	173
81	211
82	231
83	248
84	230
85	274
86	266
87	259
88	274
89	277
90	284
91	270
92	238
93	211
94	189
95	154
96	106
97	102
98	81
99	58
100	55
101	51
102	49
103	47
104	42
105	42
106	40
107	38
108	35
109	39
110	34
111	50
112	39
113	36
114	43
115	41
116	49
117	41
118	39
119	42
120	44
121	40
122	29
123	45
124	33
125	31
126	31
127	29
128	40
129	33
130	24
131	36
132	35
133	33
134	38
135	35
136	29
137	31
138	24
139	30
140	30
141	26
142	22
143	21
144	26
145	27
146	17
147	25
148	22
149	24
150	30
151	25
152	19
153	21
154	23
155	24
156	14
157	16
158	16
159	14
160	20
161	15
162	15
163	7
164	12
165	11
166	8
167	6
168	10
169	6
170	12
171	5
172	5
173	1
174	5
175	4
176	4
177	5
178	4
179	3
181	4
182	2
183	1
184	1
185	1
186	1
189	1
190	1
191	2
192	1
193	1
194	1
198	2
Population Pohang15 contained 80 incompatible loci -- more than two alleles present.
Population Geoje15 contained 90 incompatible loci -- more than two alleles present.
Population Namhae15 contained 71 incompatible loci -- more than two alleles present.
Population YellowSea16 contained 93 incompatible loci -- more than two alleles present.
Population Jukbyeon07 contained 130 incompatible loci -- more than two alleles present.
Population JinhaeBay07 contained 45 incompatible loci -- more than two alleles present.
Population JinhaeBay08 contained 48 incompatible loci -- more than two alleles present.
Population Boryeong07 contained 75 incompatible loci -- more than two alleles present.
Population Geoje14 contained 89 incompatible loci -- more than two alleles present.
Population Pohang15 contained 0 incompatible loci -- more than two alleles present.
Population Geoje15 contained 0 incompatible loci -- more than two alleles present.
Population Namhae15 contained 0 incompatible loci -- more than two alleles present.
Population YellowSea16 contained 0 incompatible loci -- more than two alleles present.
Population Jukbyeon07 contained 0 incompatible loci -- more than two alleles present.
Population JinhaeBay07 contained 0 incompatible loci -- more than two alleles present.
Population JinhaeBay08 contained 0 incompatible loci -- more than two alleles present.
Population Boryeong07 contained 0 incompatible loci -- more than two alleles present.
Population Geoje14 contained 0 incompatible loci -- more than two alleles present.
